Recency (months),Frequency (times),Monetary (c.c. blood),Time (months), if they donated blood on the day of the survey
4 ,2,500,4 ,0
4 ,9,2250,26 ,1
16 ,6,1500,50 ,0
4 ,6,1500,41 ,1
4 ,6,1500,43 ,0
21 ,1,250,21 ,0
14 ,2,500,16 ,0
2 ,1,250,2 ,0
2 ,10,2500,52 ,0
9 ,1,250,9 ,0
14 ,1,250,14 ,0
4 ,4,1000,46 ,0
1 ,16,4000,35 ,1
16 ,2,500,27 ,0
4 ,1,250,4 ,0
7 ,2,500,16 ,0
9 ,8,2000,38 ,1
11 ,1,250,11 ,1
2 ,4,1000,14 ,1
23 ,3,750,39 ,0
2 ,4,1000,16 ,0
11 ,3,750,23 ,0
2 ,3,750,38 ,1
16 ,10,2500,89 ,0
11 ,2,500,26 ,0
2 ,7,1750,35 ,1
12 ,15,3750,71 ,0
16 ,12,3000,50 ,0
2 ,5,1250,16 ,1
7 ,9,2250,89 ,1
11 ,3,750,15 ,0
12 ,13,3250,59 ,0
6 ,2,500,11 ,1
2 ,6,1500,26 ,0
14 ,1,250,14 ,0
2 ,4,1000,16 ,0
14 ,2,500,14 ,1
23 ,1,250,23 ,0
2 ,10,2500,28 ,1
23 ,3,750,89 ,0
14 ,3,750,33 ,0
9 ,2,500,16 ,1
4 ,1,250,4 ,0
5 ,14,3500,86 ,0
4 ,6,1500,52 ,0
16 ,6,1500,81 ,0
22 ,1,250,22 ,1
23 ,3,750,62 ,0
3 ,1,250,3 ,1
2 ,2,500,23 ,0
23 ,2,500,38 ,0
2 ,41,10250,98 ,1
2 ,6,1500,16 ,1
23 ,4,1000,52 ,0
23 ,12,3000,86 ,0
11 ,8,2000,46 ,0
16 ,1,250,16 ,0
74 ,1,250,74 ,0
2 ,3,750,16 ,1
2 ,6,1500,15 ,1
23 ,1,250,23 ,0
11 ,7,1750,64 ,0
11 ,4,1000,59 ,0
14 ,5,1250,26 ,0
2 ,2,500,11 ,1
23 ,19,4750,62 ,0
2 ,11,2750,40 ,1
9 ,9,2250,38 ,0
4 ,7,1750,25 ,0
4 ,1,250,4 ,0
4 ,1,250,4 ,0
21 ,1,250,21 ,0
9 ,1,250,9 ,0
4 ,4,1000,4 ,1
11 ,2,500,21 ,0
14 ,4,1000,30 ,0
4 ,9,2250,46 ,0
14 ,5,1250,74 ,0
4 ,11,2750,61 ,0
23 ,1,250,23 ,0
38 ,1,250,38 ,0
14 ,8,2000,26 ,0
0 ,8,2000,59 ,0
11 ,2,500,11 ,0
4 ,3,750,28 ,0
7 ,10,2500,47 ,0
2 ,2,500,16 ,0
2 ,5,1250,26 ,0
2 ,2,500,2 ,0
14 ,7,1750,45 ,0
0 ,13,3250,28 ,1
